title: 	Why Nikola Stock Popped	link: https://finance.yahoo.com/m/f6d0267f-865c-34c7-a464-d42d9c4edfed/why-nikola-stock-popped.html
title: 	General Motors Shares Jump on 'Ultium' EV Drive System Plans, Tesla Slides	link: https://finance.yahoo.com/m/4ee0a136-e9ab-3275-b264-4bed81d62966/general-motors-shares-jump-on.html
